_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
689b74e24cec7cefb62ef90b,,107.52,93.48,123.64,80.08,40;1;1;0,words,10,-1,49,4.46,0,179.7,false,false,english,,normal,false,false,false,,1755018466000
689b710e4cec7cefb62ed4fe,,85.8,90.17,102.6,79.02,429;30;2;6,time,60,-1,5,60,0,27.73,false,false,english,,normal,false,false,false,,1755017486000
689b70984cec7cefb62ed086,,109.58,97.35,120.78,91.52,137;2;0;0,time,15,-1,2,15,0,2.66,false,false,english,,normal,false,false,false,,1755017368000
68952dfab62381ed49ac16b8,,107.17,97.86,111.97,89.17,134;2;0;0,time,15,-1,40,15,0,123.94,false,false,english,,normal,false,false,false,,1754607098000
68915cec20ac094ae832534f,,83.99,90.08,103.99,80.63,105;6;1;3,time,15,-1,37,15,0,84.8,false,false,english,,normal,false,false,false,,1754356972000
68915c6520ac094ae8324f7a,,93.59,89.66,115.99,83.68,117;7;3;0,time,15,-1,36,15,0,111.67,false,false,english,,normal,false,false,false,,1754356837000
68915bc120ac094ae8324aef,,96.79,93.01,114.39,81.29,121;5;1;1,time,15,-1,61,15,0,176.55,false,false,english,,normal,false,false,false,,1754356673000
68915ac720ac094ae8324414,,97.58,94.48,115.18,77.44,122;2;2;1,time,15,-1,20,15,0,30.71,false,false,english,,normal,false,false,false,,1754356423000
68915a7920ac094ae8324216,,99.99,89.81,125.59,84.45,125;9;2;0,time,15,-1,18,15,0,35.16,false,false,english,,normal,false,false,false,,1754356345000
68915a3220ac094ae8324018,,104.75,91.61,123.94,90.22,131;8;2;0,time,15,-1,39,15.01,0,91.59,false,false,english,,normal,false,false,false,,1754356274000
6891599f20ac094ae8323bfc,,98.39,90.73,120.79,85.73,123;7;2;1,time,15,-1,13,15,0,44.27,false,false,english,,normal,false,false,false,,1754356127000
6891595120ac094ae83239f7,,95.98,92.59,106.38,64.87,120;6;0;2,time,15,-1,24,15,0,81.49,false,false,english,,normal,false,false,false,,1754356049000
689158d220ac094ae8323643,,105.58,93.29,118.37,90.65,132;5;1;1,time,15,-1,5,15,0,8.14,false,false,english,,normal,false,false,false,,1754355922000
689157de20ac094ae8322eef,,106.39,97.84,109.59,83.53,133;1;0;0,time,15,-1,1,15,0,2.93,false,false,english,,normal,false,false,false,,1754355678000
689157c820ac094ae8322e3f,,91.19,93.48,110.39,83.54,114;4;1;1,time,15,-1,9,15,0,20.16,false,false,english,,normal,false,false,false,,1754355656000
688d6cb220ac094ae810ef49,,111.93,98.62,115.13,85.53,140;0;0;1,time,15,-1,1,15.01,0,1.44,false,false,english,,normal,false,false,false,,1754098865000
68892cfedebff78a4323a6b3,,102.39,98.48,105.59,90.54,128;1;0;0,time,15,-1,32,15,0,120.98,false,false,english,,normal,false,false,false,,1753820414000
68884d1ddebff78a431a26c1,,120.76,100,120.76,63.73,52;0;0;0,words,10,-1,24,5.17,0,48.1,false,false,english,,normal,false,false,false,,1753763101000
6887f7c9debff78a4317c90b,,113.42,93.88,123.73,92.19,44;2;0;0,words,10,-1,7,4.66,0,16.27,false,false,english,,normal,false,false,false,,1753741257000
6887bd0fdebff78a4315dc08,,124.97,100,124.97,66.31,45;0;0;0,words,10,-1,2,4.32,0,5.73,false,false,english,,normal,false,false,false,,1753726223000
6887bd02debff78a4315db7b,,97.2,98.21,97.2,71.07,54;0;0;0,words,10,-1,11,6.67,0,27.28,false,false,english,,normal,false,false,false,,1753726210000
688737afdebff78a430fb30e,,97.96,98.15,97.96,72.53,53;0;0;0,words,10,-1,25,6.49,0,61.25,false,false,english,,normal,false,false,false,,1753692079000
6887321bdebff78a430f7970,,108.35,98,108.35,70.88,49;0;0;0,words,10,-1,0,5.43,0,0,false,false,english,,normal,false,false,false,,1753690651000
68872f07debff78a430f590d,,126.58,100,126.58,92.19,51;0;0;0,words,10,-1,6,4.83,0,15.34,false,false,english,,normal,false,false,false,,1753689863000
68872eecdebff78a430f57eb,,92.45,88.37,128.24,54.96,31;3;0;0,words,10,-1,6,4.02,0,12.99,false,false,english,,normal,false,false,false,,1753689836000
68872ed5debff78a430f56ef,,90.85,89.58,114.76,57.34,38;3;0;0,words,10,-1,9,5.02,0,17.16,false,false,english,,normal,false,false,false,,1753689813000
68872eb6debff78a430f558c,,103.94,91.84,118.44,83.64,43;3;0;1,words,10,-1,0,4.96,0,0,false,false,english,,normal,false,false,false,,1753689782000
68872eb0debff78a430f554e,,107.9,98,107.9,74.39,49;0;0;0,words,10,-1,1,5.45,0,2.42,false,false,english,,normal,false,false,false,,1753689776000
68872ea6debff78a430f54eb,,131.01,100,131.01,90.3,53;0;0;0,words,10,-1,2,4.85,0,1.56,false,false,english,,normal,false,false,false,,1753689766000
68872e9ddebff78a430f5484,,96.42,97.92,96.42,80.87,47;0;0;0,words,10,-1,1,5.85,0,1.64,false,false,english,,normal,false,false,false,,1753689757000
68872dacdebff78a430f4b13,,99.47,96.43,99.47,62.81,53;0;0;0,words,10,-1,0,6.39,0,0,false,false,english,,normal,false,false,false,,1753689516000
